   DEPT        CTEM       DCAL        DT      GR_EDTC      GTEM       ITT        RWA        SPHI       STIT       TENS
   1971.5000   147.7648     0.3833    62.1959    60.2612    96.1749     0.8499    -3.8736     0.0623     0.0000  1128.0000
   1972.0000   147.7648     0.3870    53.0130    56.6219    96.1820     0.8498    -0.0031    -0.0352     0.0000  1130.0000
   1972.5000   147.7648     0.3904    53.2285    54.5475    96.1892     0.8498    -0.0031    -0.0325     0.0000  1134.0000
   1973.0000   147.7648     0.4024    53.6633    56.5726    96.1963     0.8498    -0.0031    -0.0272     0.0000  1121.0000
   1973.5000   147.7648     0.4022    53.8437    63.8512    96.2035     0.8498    -0.0031    -0.0250     0.0000  1137.0000
   1974.0000   147.7648     0.4028    53.8674    65.4524    96.2106     0.8497    -0.0031    -0.0247     0.0000  1133.0000
   1974.5000   147.7648     0.3866    53.9937    61.3036    96.2178     0.8497    -0.0031    -0.0232     0.0000  1125.0000
   1975.0000   147.7648     0.4149    54.1626    55.5354    96.2249     0.8497    -0.0031    -0.0212     0.0000  1135.0000
   1975.5000   147.7648     0.4407    54.2860    56.0553    96.2321     0.8497    -0.0031    -0.0197     0.0000  1136.0000
   1976.0000   147.7648     0.5748    54.2248    57.6591    96.2392     0.8496    -0.0031    -0.0205     0.0000  1130.0000
   1976.5000   147.7648     0.6328    54.2873    60.2521    96.2464     0.8496    -0.0031    -0.0197     0.0000  1122.0000
   1977.0000   147.7648     0.6335    54.3429    63.3170    96.2535     0.8496    -0.0031    -0.0191     0.0000  1132.0000
   1977.5000   147.7648     0.6335    54.2716    66.4364    96.2606     0.8495    -0.0031    -0.0199     0.0000  1145.0000
   1978.0000   147.7648     0.6335    54.4824    60.7733    96.2678     0.8495    -0.0031    -0.0174     0.0000  1117.0000
   1978.5000   147.7648     0.6337    54.6749    59.1672    96.2749     0.8495    -0.0031    -0.0151     0.0000  1131.0000
   1979.0000   147.7648     0.6209    54.9215    55.5279    96.2821     0.8495    -0.0031    -0.0123     0.0000  1152.0000
   1979.5000   147.7648     0.6268    55.2901    61.7667    96.2892     0.8494    -0.0031    -0.0080     0.0000  1119.0000
