DEPT,DT
1945.5,34.97973235592201
1946.0,34.984349863719984
1946.5,34.98896737151796
1947.0,34.99358487931596
1947.5,34.998202387113935
1948.0,35.00281989491191
1948.5,35.00743740270988
1949.0,35.01205491050786
1949.5,-42.099527581694176
1950.0,-42.82751007389621
1950.5,-43.14339256609823
1951.0,-24.026575058300253
1951.5,3.209442449497743
1952.0,4.21755995729572
1952.5,-47.3894225349063
1953.0,-74.87120502710835
1953.5,-75.29648751931036
1954.0,-25.11577001151238
1954.5,52.0619474962856
1955.0,51.16296500408356
1955.5,51.074282511881535
1956.0,-78.6882999803205
1956.5,-79.02188247252252
1957.0,-79.16866496472451
1957.5,-79.20824745692654
1958.0,-78.99462994912857
1958.5,-78.93601244133059
1959.0,-79.39599493353262
1959.5,-79.95867742573463
1960.0,-80.76955991793668
1960.5,-81.15334241013869
1961.0,-81.21682490234073
1961.5,-81.10040739454271
1962.0,-81.53708988674475
1962.5,-81.57517237894677
1963.0,-81.69095487114879
1963.5,-81.99653736335082
1964.0,-82.47581985555286
1964.5,-81.75350234775487
1965.0,-81.34428483995691
1965.5,-81.31216733215894
1966.0,-81.33284982436092
1966.5,-81.34483231656296
1967.0,-81.61491480876498
1967.5,-81.69439730096701
1968.0,-73.74717979316904
1968.5,-73.57696228537105
1969.0,-73.27184477757308
1969.5,-72.34372726977512
1970.0,-71.93860976197713
1970.5,-71.44469225417913
1971.0,-71.36407474638119
1971.5,-71.29865723858319
1972.0,-80.4769397307852
1972.5,-80.25682222298724
1973.0,-79.81740471518927
1973.5,-79.63238720739129
1974.0,-79.60406969959331
1974.5,-79.47315219179535
1975.0,-79.29963468399737
1975.5,-79.17161717619939
1976.0,-79.22819966840139
1976.5,-79.16108216060341
1977.0,-79.10086465280544
1977.5,-79.16754714500746
1978.0,-78.9521296372095
1978.5,-78.75501212941151
1979.0,-78.50379462161354
1979.5,-78.13057711381558
1980.0,-77.6814596060176
1980.5,-76.5468420982196
1981.0,-75.91722459042163
1981.5,1.8265929173763595
1982.0,-74.01068957482568
1982.5,-72.0260720670277
1983.0,-71.48025455922973
1983.5,-68.95633705143175
1984.0,2.5650804563662177
1984.5,2.7799979641642096
1985.0,3.432215471962195
1985.5,-70.16546702023982
1986.0,-72.57654951244186
1986.5,-37.44433200464388
1987.0,-36.94521449684591
1987.5,-40.093496989047935
1988.0,-67.62297948124996
1988.5,-71.66496197345198
1989.0,-75.07744446565401
1989.5,-76.24682695785603
1990.0,-80.91990945005807
1990.5,-78.59979194226005
1991.0,-79.18907443446209
1991.5,-79.5271569266641
1992.0,-80.56963941886613
1992.5,-72.21652191106816
1993.0,-79.31280440327019
1993.5,-79.39698689547222
1994.0,-79.11536938767424
1994.5,-79.05485187987627
1995.0,-79.03583437207826
1995.5,-79.20871686428029
1996.0,-79.12139935648231
1996.5,-79.37008184868435
1997.0,-79.40336434088637
1997.5,-79.51504683308839
1998.0,-79.62802932529041
1998.5,-79.65241181749245
1999.0,-79.58449430969446
1999.5,-79.57397680189646
2000.0,-79.6586592940985
2000.5,-79.62334178630053
2001.0,-79.62002427850254
2001.5,-79.73840677070457
2002.0,-79.60868926290661
2002.5,-78.92287175510862
2003.0,-78.64995424731066
2003.5,-79.09333673951268
2004.0,-80.32301923171468
2004.5,-72.21720172391673
2005.0,-72.12328421611872
2005.5,-71.79196670832076
2006.0,-71.20914920052277
2006.5,-71.09353169272481
2007.0,-71.00441418492683
2007.5,-71.44969667712886
2008.0,-71.53327916933088
2008.5,-71.43106166153291
2009.0,-70.93474415373493
2009.5,-70.86112664593693
2010.0,-70.00180913813895
2010.5,-69.31249163034099
2011.0,-69.65557412254302
2011.5,-69.82715661474504
2012.0,-69.79993910694706
2012.5,-69.6623215991491
2013.0,-69.92400409135112
2013.5,-70.30398658355314
2014.0,-71.31346907575514
2014.5,-79.65515156795716
2015.0,-79.9235340601592
2015.5,-79.24641655236121
2016.0,-78.76219904456325
2016.5,-78.37458153676528
2017.0,-78.19666402896729
2017.5,-77.71514652116932
2018.0,-76.80112901337134
2018.5,-58.07841150557334
2019.0,-57.58519399777538
2019.5,-38.09907648997739
2020.0,-39.79665898217942
2020.5,57.69845852561855
2021.0,94.48507603341653
2021.5,93.9500935412145
2022.0,68.17111104901247
2022.5,64.76072855681045
2023.0,150.1722460646084
2023.5,50.67016357240641
2024.0,50.67478108020441
2024.5,-48.11480141199763
2025.0,-23.81838390419965
2025.5,-24.459666396401687
2026.0,39.238251111396295
2026.5,47.652868619194265
2027.0,37.70688612699223
2027.5,51.83950363479022
2028.0,72.36022114258819
2028.5,70.9061386503862
2029.0,38.07905615818416
2029.5,34.12537366598215
2030.0,28.55839117378011
2030.5,29.119308681578076
2031.0,28.539826189376072
2031.5,29.226443697174034
2032.0,29.37096120497202
2032.5,30.317578712769972
2033.0,30.280796220567993
2033.5,29.33231372836596
2034.0,28.88983123616393
2034.5,28.53454874396192
2035.0,29.311466251759896
2035.5,29.563583759557844
2036.0,29.84680126735583
2036.5,29.846118775153798
2037.0,30.09553628295177
2037.5,30.13665379074976
2038.0,28.839571298547725
2038.5,29.129488806345734
2039.0,27.29200631414369
2039.5,26.399123821941686
2040.0,26.62144132973964
2040.5,25.20475883753761
2041.0,24.33087634533561
2041.5,25.008393853133583
2042.0,24.310011360931554
